 id  |  status  | stake_amount | winner_user_id |          created_at           |          finished_at          
-----+----------+--------------+----------------+-------------------------------+-------------------------------
 216 | FINISHED |            2 |              1 | 2025-11-16 16:51:15.108978+00 | 2025-11-16 16:52:05.931416+00
 215 | FINISHED |            2 |                | 2025-11-16 16:50:37.930555+00 | 
 214 | FINISHED |            2 |              1 | 2025-11-16 16:39:32.287496+00 | 2025-11-16 16:40:21.623254+00
 213 | FINISHED |            2 |              1 | 2025-11-16 16:10:08.296919+00 | 2025-11-16 16:11:07.773041+00
 212 | FINISHED |            2 |              3 | 2025-11-16 15:53:09.142004+00 | 2025-11-16 15:53:53.575115+00
 211 | FINISHED |            2 |                | 2025-11-16 15:52:43.840656+00 | 
 210 | FINISHED |            2 |              1 | 2025-11-16 15:23:02.544635+00 | 2025-11-16 15:23:34.742103+00
 209 | FINISHED |            2 |                | 2025-11-16 15:09:05.38324+00  | 2025-11-16 15:09:23.238265+00
 208 | FINISHED |            2 |              2 | 2025-11-15 00:18:40.768996+00 | 2025-11-15 00:20:22.416091+00
 206 | FINISHED |            2 |              3 | 2025-11-15 00:15:24.693288+00 | 2025-11-15 00:16:30.233447+00
 204 | FINISHED |            2 |              3 | 2025-11-14 23:45:19.352354+00 | 2025-11-14 23:47:17.764073+00
 203 | FINISHED |            2 |              3 | 2025-11-14 21:23:44.657289+00 | 2025-11-14 21:24:37.684989+00
 202 | FINISHED |            2 |              1 | 2025-11-14 21:19:33.286245+00 | 2025-11-14 21:20:37.751074+00
 201 | FINISHED |            2 |                | 2025-11-14 21:09:20.720258+00 | 
 200 | FINISHED |            2 |                | 2025-11-14 20:44:41.565511+00 | 
 199 | FINISHED |            2 |                | 2025-11-14 20:28:57.772569+00 | 
 198 | FINISHED |            2 |                | 2025-11-14 20:28:05.556082+00 | 
 197 | FINISHED |            2 |                | 2025-11-14 20:28:04.819939+00 | 
 196 | FINISHED |            2 |                | 2025-11-14 20:17:53.731617+00 | 
 195 | FINISHED |            2 |                | 2025-11-14 19:55:26.798513+00 | 
 194 | FINISHED |            2 |                | 2025-11-14 19:49:04.9576+00   | 
 193 | FINISHED |            2 |                | 2025-11-14 19:24:07.179888+00 | 
 192 | FINISHED |            2 |                | 2025-11-14 17:08:33.69836+00  | 
 191 | FINISHED |            2 |                | 2025-11-14 16:37:33.275938+00 | 
 190 | FINISHED |            2 |                | 2025-11-14 14:48:51.815778+00 | 
 189 | FINISHED |            2 |                | 2025-11-14 14:00:50.889997+00 | 
 188 | FINISHED |            2 |                | 2025-11-14 13:57:55.528612+00 | 
 187 | FINISHED |            2 |                | 2025-11-14 13:54:07.930028+00 | 
 186 | FINISHED |            2 |                | 2025-11-14 13:40:32.200587+00 | 
 185 | FINISHED |            2 |                | 2025-11-14 13:25:25.904649+00 | 
 184 | FINISHED |            2 |                | 2025-11-14 12:59:38.959588+00 | 2025-11-14 13:01:45.634969+00
 183 | FINISHED |            2 |                | 2025-11-14 12:45:39.933865+00 | 
 182 | FINISHED |            2 |                | 2025-11-14 12:40:49.014378+00 | 
 181 | FINISHED |            2 |                | 2025-11-14 10:05:25.950665+00 | 
 180 | FINISHED |            2 |                | 2025-11-13 22:12:33.017829+00 | 
 179 | FINISHED |            2 |                | 2025-11-13 21:46:56.701007+00 | 
 178 | FINISHED |            2 |                | 2025-11-13 21:36:03.738999+00 | 
 177 | FINISHED |            2 |                | 2025-11-13 21:13:10.712349+00 | 
 176 | FINISHED |            2 |                | 2025-11-13 20:53:52.724572+00 | 
 175 | FINISHED |            2 |                | 2025-11-13 20:53:31.798003+00 | 
 174 | FINISHED |            2 |                | 2025-11-13 20:53:29.131952+00 | 
 173 | FINISHED |            2 |                | 2025-11-13 20:36:13.542321+00 | 
 172 | FINISHED |            2 |                | 2025-11-13 20:04:41.046921+00 | 
 171 | FINISHED |            2 |                | 2025-11-13 19:53:37.860475+00 | 
 170 | FINISHED |            2 |                | 2025-11-13 19:35:53.905983+00 | 
 167 | FINISHED |            2 |                | 2025-11-13 17:51:34.260427+00 | 
 166 | FINISHED |            2 |                | 2025-11-13 17:51:11.658218+00 | 
 165 | FINISHED |            2 |                | 2025-11-13 17:51:09.269621+00 | 
 164 | FINISHED |            4 |                | 2025-11-13 17:31:40.913534+00 | 
 163 | FINISHED |            2 |                | 2025-11-13 17:28:37.274792+00 | 
(50 rows)

