Inspecting matches table...
Table found → dumping data...
 id  | stake_amount | num_players |  status  | p1_user_id | p2_user_id | p3_user_id | winner_user_id |          created_at           |          finished_at          
-----+--------------+-------------+----------+------------+------------+------------+----------------+-------------------------------+-------------------------------
 203 |            2 |           3 | FINISHED |          1 |          2 |          3 |              3 | 2025-11-14 21:23:44.657289+00 | 2025-11-14 21:24:37.684989+00
 202 |            2 |           2 | FINISHED |          1 |          2 |            |              1 | 2025-11-14 21:19:33.286245+00 | 2025-11-14 21:20:37.751074+00
 201 |            2 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-14 21:09:20.720258+00 | 
 200 |            2 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-14 20:44:41.565511+00 | 
 199 |            2 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-14 20:28:57.772569+00 | 
 198 |            2 |           3 | FINISHED |          2 |            |            |                | 2025-11-14 20:28:05.556082+00 | 
 197 |            2 |           2 | FINISHED |          1 |            |            |                | 2025-11-14 20:28:04.819939+00 | 
 196 |            2 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-14 20:17:53.731617+00 | 
 195 |            2 |           3 | FINISHED |          1 |          2 |            |                | 2025-11-14 19:55:26.798513+00 | 
 194 |            2 |           3 | FINISHED |          1 |            |          3 |                | 2025-11-14 19:49:04.9576+00   | 
 193 |            2 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-14 19:24:07.179888+00 | 
 192 |            2 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-14 17:08:33.69836+00  | 
 191 |            2 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-14 16:37:33.275938+00 | 
 190 |            2 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-14 14:48:51.815778+00 | 
 189 |            2 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-14 14:00:50.889997+00 | 
 188 |            2 |           2 | FINISHED |          2 |          3 |            |                | 2025-11-14 13:57:55.528612+00 | 
 187 |            2 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-14 13:54:07.930028+00 | 
 186 |            2 |           3 | FINISHED |          1 |          2 |          3 |                | 2025-11-14 13:40:32.200587+00 | 
 185 |            2 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-14 13:25:25.904649+00 | 
 184 |            2 |           3 | FINISHED |          1 |            |            |                | 2025-11-14 12:59:38.959588+00 | 2025-11-14 13:01:45.634969+00
 183 |            2 |           3 | FINISHED |          3 |            |            |                | 2025-11-14 12:45:39.933865+00 | 
 182 |            2 |           3 | FINISHED |          3 |          2 |          1 |                | 2025-11-14 12:40:49.014378+00 | 
