           run_at           | match_id | stake_amount | num_players |  status  |         created_at         |        finished_at         | winner_user_id |       p1        |       p2        |       p3        
----------------------------+----------+--------------+-------------+----------+----------------------------+----------------------------+----------------+-----------------+-----------------+-----------------
 2025-11-14 22:12:30.460706 |       59 |            0 |           3 | FINISHED | 2025-10-30 20:11:40.636762 |                            |                | sr1985!         | sri.christh     | sridhar.christh
 2025-11-14 22:12:30.460706 |       50 |            0 |           3 | FINISHED | 2025-10-28 18:44:22.980754 | 2025-10-28 18:45:06.338372 |                | sr1985!         | sri.christh     | sridhar.christh
 2025-11-14 22:12:30.460706 |      113 |            0 |           3 | FINISHED | 2025-11-09 09:16:48.938328 |                            |                | sr1985!         | sri.christh     | sridhar.christh
 2025-11-14 22:12:30.460706 |      111 |            0 |           2 | FINISHED | 2025-11-09 06:02:58.210787 |                            |                | sridhar.christh |                 | sr1985!
 2025-11-14 22:12:30.460706 |       32 |            0 |           2 | FINISHED | 2025-10-24 23:53:38.715841 | 2025-10-24 23:55:26.665824 |                | sri.christh     | sridharc98      | 
 2025-11-14 22:12:30.460706 |        2 |            0 |           2 | FINISHED | 2025-10-24 20:09:04.666796 |                            |                | sr1985!         | sri.christh     | 
 2025-11-14 22:12:30.460706 |       51 |            0 |           3 | FINISHED | 2025-10-28 19:03:41.006822 | 2025-10-28 19:05:22.244774 |                | sr1985!         | sri.christh     | sridhar.christh
 2025-11-14 22:12:30.460706 |       52 |            0 |           2 | FINISHED | 2025-10-28 20:15:06.551077 | 2025-10-28 20:15:14.471418 |                | sr1985!         | sri.christh     | 
 2025-11-14 22:12:30.460706 |       33 |            0 |           2 | FINISHED | 2025-10-27 18:47:17.265641 | 2025-10-27 18:48:00.514565 |                | sri.christh     | sr1985!         | 
 2025-11-14 22:12:30.460706 |       85 |            0 |           3 | FINISHED | 2025-10-31 22:27:25.729863 |                            |                | sr1985!         |                 | sridhar.christh
 2025-11-14 22:12:30.460706 |        9 |            0 |           3 | FINISHED | 2025-10-24 22:24:25.148614 |                            |                | sri.christh     | sridharc98      | sridharc98
 2025-11-14 22:12:30.460706 |       65 |            0 |           3 | FINISHED | 2025-10-30 21:39:46.249536 | 2025-10-30 21:43:23.317903 |                |                 | sridhar.christh | sr1985!
 2025-11-14 22:12:30.460706 |       72 |            0 |           3 | FINISHED | 2025-10-31 19:48:56.898819 | 2025-10-31 19:50:19.828481 |                | sri.christh     |                 | sr1985!
 2025-11-14 22:12:30.460706 |       53 |            0 |           3 | FINISHED | 2025-10-28 20:40:27.707389 | 2025-10-28 20:41:00.031977 |                | sridhar.christh | sr1985!         | sri.christh
 2025-11-14 22:12:30.460706 |       81 |            0 |           3 | FINISHED | 2025-10-31 20:42:53.450352 | 2025-10-31 20:45:11.820056 |                |                 | sridhar.christh | sr1985!
 2025-11-14 22:12:30.460706 |       54 |            0 |           2 | FINISHED | 2025-10-29 12:29:02.011984 | 2025-10-29 12:29:31.059839 |                | sridhar.christh | sr1985!         | 
 2025-11-14 22:12:30.460706 |       42 |            0 |           2 | FINISHED | 2025-10-28 17:37:58.468821 | 2025-10-28 17:39:00.042623 |                | sr1985!         | sri.christh     | 
 2025-11-14 22:12:30.460706 |       43 |            0 |           2 | FINISHED | 2025-10-28 17:58:30.726652 | 2025-10-28 17:58:43.515812 |                | sr1985!         | sri.christh     | 
 2025-11-14 22:12:30.460706 |       87 |            0 |           3 | FINISHED | 2025-10-31 23:11:18.164359 | 2025-10-31 23:13:29.335992 |                | sr1985!         |                 | sridhar.christh
 2025-11-14 22:12:30.460706 |       60 |            0 |           3 | FINISHED | 2025-10-30 20:21:58.871185 | 2025-10-30 20:25:27.558166 |                | sr1985!         |                 | sri.christh
 2025-11-14 22:12:30.460706 |       44 |            0 |           2 | FINISHED | 2025-10-28 18:21:38.385648 | 2025-10-28 18:23:08.67049  |                | sr1985!         | sri.christh     | 
 2025-11-14 22:12:30.460706 |       93 |            0 |           3 | FINISHED | 2025-11-07 20:07:45.775522 | 2025-11-07 20:11:42.942583 |                | sr1985!         |                 | sridhar.christh
 2025-11-14 22:12:30.460706 |       55 |            0 |           3 | FINISHED | 2025-10-29 12:42:54.794437 | 2025-10-29 12:44:44.447571 |                | sri.christh     |                 | sridhar.christh
 2025-11-14 22:12:30.460706 |       73 |            0 |           3 | FINISHED | 2025-10-31 20:00:57.802831 | 2025-10-31 20:04:49.234916 |                |                 | sri.christh     | sridhar.christh
 2025-11-14 22:12:30.460706 |       66 |            0 |           3 | FINISHED | 2025-10-30 21:45:36.624132 | 2025-10-30 21:48:00.325688 |                |                 | sr1985!         | sri.christh
 2025-11-14 22:12:30.460706 |       45 |            0 |           2 | FINISHED | 2025-10-28 18:31:33.499206 | 2025-10-28 18:32:29.205571 |                | sri.christh     | sr1985!         | 
 2025-11-14 22:12:30.460706 |       90 |            0 |           3 | FINISHED | 2025-11-07 19:14:55.634337 | 2025-11-07 19:20:02.002596 |                |                 | sr1985!         | sridhar.christh
 2025-11-14 22:12:30.460706 |       61 |            0 |           3 | FINISHED | 2025-10-30 20:31:33.803169 | 2025-10-30 20:33:58.53609  |                | sridhar.christh |                 | sri.christh
 2025-11-14 22:12:30.460706 |       46 |            0 |           2 | FINISHED | 2025-10-28 18:32:37.903197 | 2025-10-28 18:32:57.982502 |                | sri.christh     | sr1985!         | 
 2025-11-14 22:12:30.460706 |       56 |            0 |           3 | FINISHED | 2025-10-29 12:55:06.371487 | 2025-10-29 12:58:14.18833  |                | sr1985!         |                 | sridhar.christh
 2025-11-14 22:12:30.460706 |       82 |            0 |           3 | FINISHED | 2025-10-31 21:10:37.552213 |                            |                | sridhar.christh |                 | sr1985!
 2025-11-14 22:12:30.460706 |       74 |            0 |           3 | FINISHED | 2025-10-31 20:08:02.240543 |                            |                | sr1985!         |                 | sridhar.christh
 2025-11-14 22:12:30.460706 |       48 |            0 |           2 | FINISHED | 2025-10-28 18:40:57.268481 | 2025-10-28 18:41:50.902832 |                | sr1985!         | sri.christh     | 
 2025-11-14 22:12:30.460706 |       67 |            0 |           3 | FINISHED | 2025-10-30 22:10:56.296181 |                            |                | sridhar.christh |                 | sr1985!
 2025-11-14 22:12:30.460706 |       49 |            0 |           2 | FINISHED | 2025-10-28 18:42:01.225656 | 2025-10-28 18:42:25.172552 |                | sr1985!         | sri.christh     | 
 2025-11-14 22:12:30.460706 |       57 |            0 |           2 | FINISHED | 2025-10-30 20:10:25.286455 | 2025-10-30 20:11:16.052302 |                | sridhar.christh | sr1985!         | 
 2025-11-14 22:12:30.460706 |       62 |            0 |           3 | FINISHED | 2025-10-30 21:22:15.824301 |                            |                | sr1985!         |                 | sridhar.christh
 2025-11-14 22:12:30.460706 |       98 |            0 |           2 | FINISHED | 2025-11-07 21:03:51.217986 | 2025-11-07 21:05:01.444016 |                | sri.christh     |                 | 
 2025-11-14 22:12:30.460706 |       95 |            0 |           2 | FINISHED | 2025-11-07 20:11:51.621309 | 2025-11-07 20:12:19.227949 |                | sridhar.christh | sr1985!         | 
 2025-11-14 22:12:30.460706 |       83 |            0 |           3 | FINISHED | 2025-10-31 21:27:35.663011 |                            |                | sr1985!         |                 | sridhar.christh
 2025-11-14 22:12:30.460706 |       68 |            0 |           3 | FINISHED | 2025-10-31 17:28:49.516693 | 2025-10-31 17:30:02.478536 |                | sridhar.christh |                 | sri.christh
 2025-11-14 22:12:30.460706 |       75 |            0 |           3 | FINISHED | 2025-10-31 20:15:07.407429 |                            |                | sr1985!         |                 | sridhar.christh
 2025-11-14 22:12:30.460706 |      104 |            0 |           2 | FINISHED | 2025-11-07 22:13:36.845646 | 2025-11-07 22:15:00.047796 |                | sr1985!         |                 | 
