 id  |  status  
-----+----------
 190 | FINISHED
 189 | FINISHED
 188 | FINISHED
 187 | FINISHED
 186 | FINISHED
 185 | FINISHED
 184 | FINISHED
 183 | FINISHED
 182 | FINISHED
 181 | FINISHED
 180 | FINISHED
 179 | FINISHED
 178 | FINISHED
 177 | FINISHED
 176 | FINISHED
 175 | FINISHED
 174 | FINISHED
 173 | FINISHED
 172 | FINISHED
 171 | FINISHED
 170 | FINISHED
 167 | FINISHED
 166 | FINISHED
 165 | FINISHED
 164 | FINISHED
 163 | FINISHED
 162 | FINISHED
 161 | FINISHED
 160 | FINISHED
 159 | FINISHED
 158 | FINISHED
 156 | FINISHED
 153 | FINISHED
 152 | FINISHED
 151 | FINISHED
 150 | FINISHED
 149 | FINISHED
 148 | FINISHED
 146 | FINISHED
 145 | FINISHED
 144 | FINISHED
 143 | FINISHED
 142 | FINISHED
 141 | ACTIVE
 140 | FINISHED
 139 | FINISHED
 138 | FINISHED
 137 | FINISHED
 136 | FINISHED
 135 | FINISHED
 134 | FINISHED
 133 | FINISHED
 132 | FINISHED
 131 | FINISHED
 130 | FINISHED
 129 | FINISHED
 128 | ACTIVE
 127 | FINISHED
 126 | FINISHED
 125 | FINISHED
 124 | FINISHED
 123 | FINISHED
 122 | ACTIVE
 118 | FINISHED
 117 | FINISHED
 116 | FINISHED
 115 | FINISHED
 114 | FINISHED
 113 | FINISHED
 112 | FINISHED
 111 | FINISHED
 108 | FINISHED
 107 | FINISHED
 106 | FINISHED
 105 | FINISHED
 104 | FINISHED
 103 | ACTIVE
 102 | FINISHED
 101 | ACTIVE
 100 | FINISHED
  99 | FINISHED
  98 | FINISHED
  97 | FINISHED
  96 | ACTIVE
  95 | FINISHED
  93 | FINISHED
  92 | FINISHED
  91 | ACTIVE
  90 | FINISHED
  89 | FINISHED
  88 | FINISHED
  87 | FINISHED
  86 | FINISHED
  85 | FINISHED
  84 | FINISHED
  83 | FINISHED
  82 | FINISHED
  81 | FINISHED
  77 | FINISHED
  76 | FINISHED
  75 | FINISHED
  74 | FINISHED
  73 | FINISHED
  72 | FINISHED
  71 | FINISHED
  70 | FINISHED
  69 | FINISHED
  68 | FINISHED
  67 | FINISHED
  66 | FINISHED
  65 | FINISHED
  64 | FINISHED
  62 | FINISHED
  61 | FINISHED
  60 | FINISHED
  59 | FINISHED
  57 | FINISHED
  56 | FINISHED
  55 | FINISHED
  54 | FINISHED
  53 | FINISHED
  52 | FINISHED
  51 | FINISHED
  50 | FINISHED
  49 | FINISHED
  48 | FINISHED
  46 | FINISHED
  45 | FINISHED
  44 | FINISHED
  43 | FINISHED
  42 | FINISHED
  33 | FINISHED
  32 | FINISHED
   9 | FINISHED
   2 | FINISHED
(135 rows)

